"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"109","92231","13010","Calexico Fire Department","2237 A Tirado AVE","Calexico","CA","2237 A Tirado AVE Calexico, CA 92231",32.683491,-115.48277,c(-115.48277, 32.683491)
"110","92233","13015","Calipatria Fire Department","125 N Park AVE","Calipatria","CA","125 N Park AVE Calipatria, CA 92233",33.131764,-115.51208,c(-115.51208, 33.131764)
"111","92234","33018","Cathedral City Fire Department","32100 Desert Vista RD","Cathedral City","CA","32100 Desert Vista RD Cathedral City, CA 92234",33.807761,-116.46473,c(-116.46473, 33.807761)
"112","92236","33020","Coachella Fire Department","1377 6TH ST","Coachella","CA","1377 6TH ST Coachella, CA 92236",33.679872,-116.17656,c(-116.17656, 33.679872)
"113","92240","33030","Desert Hot Springs Fire Service","65958 Pierson BLVD","Desert Hot Springs","CA","65958 Pierson BLVD Desert Hot Springs, CA 92240",33.952303,-116.50804,c(-116.50804, 33.952303)
"114","92243","13020","El Centro Fire Department","1910 N Waterman AVE","El Centro","CA","1910 N Waterman AVE El Centro, CA 92243",32.783359,-115.57746,c(-115.57746, 32.783359)
"115","92250","13030","Holtville Fire Department","549 Fern AVE","Holtville","CA","549 Fern AVE Holtville, CA 92250",32.800259,-115.35369,c(-115.35369, 32.800259)
"116","92251","13025","Imperial County Fire Department","2514 La Brucherie RD","Imperial","CA","2514 La Brucherie RD Imperial, CA 92251",32.853471,-115.58942,c(-115.58942, 32.853471)
"117","92253","33052","La Quinta Fire Service","44555 Adams ST","La Quinta","CA","44555 Adams ST La Quinta, CA 92253",33.675373,-116.29649,c(-116.29649, 33.675373)
"118","92256","36150","Morongo Valley Fire Department","11207 Ocotillo ST","Morongo Valley","CA","11207 Ocotillo ST Morongo Valley, CA 92256",34.066626,-116.55951,c(-116.55951, 34.066626)
"119","92257","13040","Niland Fire District","8071 Luxor  AVE","Niland","CA","8071 Luxor  AVE Niland, CA 92257",33.330929,-115.61583,c(-115.61583, 33.330929)
